jp,en,tag,context,keywords,verified
鉄板焼き,Teppanyaki / Griddle grilled,Menu,ステーキや粉もんの説明に。,"鉄板焼き, Teppanyaki / Griddle grilled, teppanyaki, griddle, grilled, menu",FALSE
塩麹漬け,Marinated in salted rice malt,Menu,発酵調味料のニュアンスを伝える際に。,"塩麹漬け, Marinated in salted rice malt, marinated, salted, rice, malt, menu",FALSE
西京焼き,Grilled with sweet miso glaze,Menu,西京味噌で漬けた焼き物の説明に。,"西京焼き, Grilled with sweet miso glaze, grilled, with, sweet, miso, glaze, menu",FALSE
照り焼き,Teriyaki (sweet soy glaze),Menu,外国人に馴染みのある用語で説明。,"照り焼き, Teriyaki (sweet soy glaze), teriyaki, sweet, soy, glaze, menu",FALSE
刺身盛り合わせ,Assorted sashimi,Menu,生魚であることを明確に。,"刺身盛り合わせ, Assorted sashimi, assorted, sashimi, menu",FALSE
旬の地魚,Local seasonal fish,Menu,地元の新鮮さをアピール。,"旬の地魚, Local seasonal fish, local, seasonal, fish, menu",FALSE
脂ののった,Fatty / Succulent,Menu,魚の部位の特徴を伝える。,"脂ののった, Fatty / Succulent, fatty, succulent, menu",FALSE
あっさり,Light and refreshing,Menu,さっぱり系の味付けに。,"あっさり, Light and refreshing, light, and, refreshing, menu",FALSE
濃厚,Rich / Creamy,Menu,こってりした味わいに。,"濃厚, Rich / Creamy, rich, creamy, menu",FALSE
ピリ辛,Mildly spicy,Menu,少し辛めの表記に。,"ピリ辛, Mildly spicy, mildly, spicy, menu",FALSE
薬味,Condiments / Garnish,Menu,わさび、生姜、ネギなどの総称。,"薬味, Condiments / Garnish, condiments, garnish, menu",FALSE
自家製,House-made / Homemade,Menu,自家製調味料や料理のアピールに。,"自家製, House-made / Homemade, house-made, homemade, menu",FALSE
数量限定,Limited quantity,Menu,数量限定メニューに。,"数量限定, Limited quantity, limited, quantity, menu",FALSE
お通し（席料）,Mandatory appetizer (cover charge),Menu,席料がかかる場合の表記に。,"お通し（席料）, Mandatory appetizer (cover charge), mandatory, appetizer, cover, charge, menu",FALSE
ワンドリンク制,One-drink minimum,Menu,注文ルールの説明に。,"ワンドリンク制, One-drink minimum, one-drink, minimum, menu",FALSE
食べ放題,All-you-can-eat,Menu,ビュッフェ等の説明に。,"食べ放題, All-you-can-eat, all-you-can-eat, menu",FALSE
飲み放題,All-you-can-drink,Menu,コースのオプション説明に。,"飲み放題, All-you-can-drink, all-you-can-drink, menu",FALSE
ご飯おかわり無料,Free rice refills,Menu,サービスの良さを伝える。,"ご飯おかわり無料, Free rice refills, free, rice, refills, menu",FALSE
セルフサービス,Self-service,Menu,水や返却の案内に。,"セルフサービス, Self-service, self-service, menu",FALSE
枝豆（塩ゆで）,Salted edamame,Menu,定番のおつまみ。,"枝豆（塩ゆで）, Salted edamame, salted, edamame, menu",FALSE
冷奴,Chilled tofu,Menu,豆腐料理の説明に。,"冷奴, Chilled tofu, chilled, tofu, menu",FALSE
厚揚げ,Deep-fried tofu blocks,Menu,食べ応えのある豆腐料理。,"厚揚げ, Deep-fried tofu blocks, deep-fried, tofu, blocks, menu",FALSE
漬物盛り合わせ,Assorted pickles,Menu,箸休めの説明に。,"漬物盛り合わせ, Assorted pickles, assorted, pickles, menu",FALSE
叩ききゅうり,Smashed cucumber,Menu,おつまみの定番。,"叩ききゅうり, Smashed cucumber, smashed, cucumber, menu",FALSE
ポテトサラダ（マヨネーズ）,Potato salad (contains mayonnaise),Menu,卵アレルギーに注意。,"ポテトサラダ（マヨネーズ）, Potato salad (contains mayonnaise), potato, salad, contains, mayonnaise, menu",FALSE
唐揚げ,Japanese fried chicken,Menu,人気の鶏料理。,"唐揚げ, Japanese fried chicken, japanese, fried, chicken, menu",FALSE
つくね,Chicken meatball skewer,Menu,焼き鳥の一種。,"つくね, Chicken meatball skewer, chicken, meatball, skewer, menu",FALSE
軟骨,Chicken cartilage,Menu,コリコリした食感の説明に。,"軟骨, Chicken cartilage, chicken, cartilage, menu",FALSE
砂肝,Chicken gizzard,Menu,内臓系の説明に。,"砂肝, Chicken gizzard, chicken, gizzard, menu",FALSE
豚バラ,Pork belly,Menu,脂のある部位の説明。,"豚バラ, Pork belly, pork, belly, menu",FALSE
和牛ステーキ,Premium Wagyu steak,Menu,高級感を伝える。,"和牛ステーキ, Premium Wagyu steak, premium, wagyu, steak, menu",FALSE
霜降り肉,Marbled beef,Menu,肉質の説明に。,"霜降り肉, Marbled beef, marbled, beef, menu",FALSE
ホルモン,Beef/pork offal,Menu,好き嫌いが分かれることを明記。,"ホルモン, Beef/pork offal, beef/pork, offal, menu",FALSE
だし巻き卵,Rolled omelet,Menu,出汁入りの卵料理。,"だし巻き卵, Rolled omelet, rolled, omelet, menu",FALSE
茶碗蒸し,Savory steamed egg custard,Menu,スープ状の卵料理。,"茶碗蒸し, Savory steamed egg custard, savory, steamed, egg, custard, menu",FALSE
味噌汁,Miso soup,Menu,発酵大豆のスープ。,"味噌汁, Miso soup, miso, soup, menu",FALSE
豚汁,Pork and vegetable miso soup,Menu,肉入りの味噌汁。,"豚汁, Pork and vegetable miso soup, pork, and, vegetable, miso, soup, menu",FALSE
精進揚げ,Vegetable tempura,Menu,野菜のみの天ぷら。,"精進揚げ, Vegetable tempura, vegetable, tempura, menu",FALSE
かき揚げ,Mixed tempura fritter,Menu,野菜と海鮮のかき揚げ。,"かき揚げ, Mixed tempura fritter, mixed, tempura, fritter, menu",FALSE
串カツ,Breaded skewers,Menu,ソースの注意書きに。,"串カツ, Breaded skewers, breaded, skewers, menu",FALSE
うなぎ蒲焼,Grilled eel with sauce,Menu,定番の蒲焼スタイル。,"うなぎ蒲焼, Grilled eel with sauce, grilled, eel, with, sauce, menu",FALSE
白焼き,Plain grilled eel,Menu,タレなしで提供する場合に。,"白焼き, Plain grilled eel, plain, grilled, eel, menu",FALSE
ちらし寿司,Chirashi sushi,Menu,散らし寿司の説明に。,"ちらし寿司, Chirashi sushi, chirashi, sushi, menu",FALSE
稲荷寿司,Inari sushi,Menu,甘く煮た油揚げの寿司。,"稲荷寿司, Inari sushi, inari, sushi, menu",FALSE
納豆巻き,Natto roll,Menu,発酵食品の好みの差に注意。,"納豆巻き, Natto roll, natto, roll, menu",FALSE
カッパ巻き,Cucumber roll,Menu,野菜のみの巻き寿司。,"カッパ巻き, Cucumber roll, cucumber, roll, menu",FALSE
おにぎり（梅）,Rice ball with pickled plum,Menu,酸味のある具材。,"おにぎり（梅）, Rice ball with pickled plum, rice, ball, with, pickled, plum, menu",FALSE
おにぎり（鮭）,Rice ball with grilled salmon,Menu,定番の具材表記。,"おにぎり（鮭）, Rice ball with grilled salmon, rice, ball, with, grilled, salmon, menu",FALSE
お茶漬け,Rice with tea/broth,Menu,締め料理の説明。,"お茶漬け, Rice with tea/broth, rice, with, tea/broth, menu",FALSE
焼きおにぎり,Grilled rice ball,Menu,香ばしい風味を伝える。,"焼きおにぎり, Grilled rice ball, grilled, rice, ball, menu",FALSE
醤油ラーメン,Soy Sauce base Ramen,Menu,醤油ベースのスープ表記。,"醤油ラーメン, Soy Sauce base Ramen, soy, sauce, base, ramen, menu",FALSE
豚骨ラーメン,Pork Bone Broth Ramen,Menu,豚骨ベースの濃厚スープ。,"豚骨ラーメン, Pork Bone Broth Ramen, pork, bone, broth, ramen, menu",FALSE
味噌ラーメン,Miso Base Ramen,Menu,味噌ベースの説明。,"味噌ラーメン, Miso Base Ramen, miso, base, ramen, menu",FALSE
塩ラーメン,Salt Base Ramen,Menu,あっさり系の説明。,"塩ラーメン, Salt Base Ramen, salt, base, ramen, menu",FALSE
担々麺,Tantan Noodles,Menu,ゴマの風味と辛さを表記。,"担々麺, Tantan Noodles, tantan, noodles, menu",FALSE
つけ麺,Dipping Noodles,Menu,つけ汁で食べる麺。,"つけ麺, Dipping Noodles, dipping, noodles, menu",FALSE
冷やし中華,Cold Chinese-style Noodles,Menu,夏季限定の冷製麺。,"冷やし中華, Cold Chinese-style Noodles, cold, chinese-style, noodles, menu",FALSE
蕎麦,Soba (buckwheat noodles),Menu,蕎麦粉使用の麺に注意。,"蕎麦,そば,ソバ, Soba (buckwheat noodles), soba, buckwheat, noodles, menu",FALSE
十割そば,100% buckwheat noodles,Menu,グルテンフリーを求める方向け。,"十割そば, 100% buckwheat noodles, 100%, buckwheat, 蕎麦,noodles, menu",FALSE
うどん,Udon (thick wheat noodles),Menu,小麦麺の表記に。,"うどん, Udon (thick wheat noodles), udon, thick, wheat, noodles, menu",FALSE
カレーライス,Japanese curry rice,Menu,日本のカレーの説明。,"カレーライス, Japanese curry rice, japanese, curry, rice, menu",FALSE
カツカレー,Curry with pork cutlet,Menu,ボリューム表記に。,"カツカレー, Curry with pork cutlet, curry, with, pork, cutlet, menu",FALSE
丼物,Rice bowl dishes,Menu,丼の基本説明。,"丼物, Rice bowl dishes, rice, bowl, dishes, menu",FALSE
親子丼,Oyako-don (chicken & egg rice bowl),Menu,具材の説明に。,"親子丼, Oyako-don (chicken & egg rice bowl), oyako-don, chicken, egg, rice, bowl, menu",FALSE
牛丼,Beef bowl,Menu,甘辛い牛肉と玉ねぎの丼。,"牛丼, Beef bowl, beef, bowl, menu",FALSE
お好み焼き,Okonomiyaki,Menu,ソースやマヨの説明と共に。,"お好み焼き, Okonomiyaki, okonomiyaki, menu",FALSE
たこ焼き,Takoyaki (octopus balls),Menu,中が熱いことへの注意。,"たこ焼き, Takoyaki (octopus balls), takoyaki, octopus, balls, menu",FALSE
生ビール,Draft beer,Menu,樽生ビールの表記に。,"生ビール, Draft beer, draft, beer, menu",FALSE
瓶ビール,Bottled beer,Menu,瓶の種類表記に。,"瓶ビール, Bottled beer, bottled, beer, menu",FALSE
地酒,Local sake,Menu,地元の日本酒の案内に。,"地酒, Local sake, local, sake, menu",FALSE
焼酎,Shochu (distilled),Menu,原料表記があると親切。,"焼酎, Shochu (distilled), shochu, distilled, menu",FALSE
ハイボール,Highball (whisky & soda),Menu,人気の飲み方表記に。,"ハイボール, Highball (whisky & soda), highball, whisky, soda, menu",FALSE
チューハイ,Chu-hai (shochu cocktail),Menu,レモンサワー等の説明に。,"チューハイ, Chu-hai (shochu cocktail), chu-hai, shochu, cocktail, menu",FALSE
梅酒,Plum wine (umeshu),Menu,甘いリキュールの表記に。,"梅酒, Plum wine (umeshu), plum, wine, umeshu, menu",FALSE
ノンアルコール,Non-alcoholic drinks,Menu,運転者向けの説明に。,"ノンアルコール, Non-alcoholic drinks, non-alcoholic, drinks, menu",FALSE
ソフトドリンク,Soft drinks,Menu,ジュースやお茶の総称。,"ソフトドリンク, Soft drinks, soft, drinks, menu",FALSE
緑茶,Green tea,Menu,ホット/アイスの確認に。,"緑茶, Green tea, green, tea, menu",FALSE
デザート,Dessert,Menu,甘味メニューの総称。,"デザート, Dessert, dessert, menu",FALSE
わらび餅,Warabi mochi,Menu,和菓子の食感説明に。,"わらび餅, Warabi mochi, warabi, mochi, menu",FALSE
あんみつ,Anmitsu,Menu,寒天とあんこの和菓子。,"あんみつ, Anmitsu, anmitsu, menu",FALSE
ランチセット,Lunch set available,Menu,ランチのセット案内に。,"ランチセット, Lunch set available, lunch, set, available, menu",FALSE
ディナーコース,Dinner course,Menu,ディナーのコース案内に。,"ディナーコース, Dinner course, dinner, course, menu",FALSE
ベジタリアン対応,Vegetarian options available,Menu,菜食対応が可能な場合に。,"ベジタリアン対応, Vegetarian options available, vegetarian, options, available, menu",FALSE
キッズメニュー,Kids' menu,Menu,子ども向けメニューの案内に。,"キッズメニュー, Kids' menu, kids', menu",FALSE
アレルギー表示あり,Allergen information available,Menu,アレルギー表記の説明に。,"アレルギー表示あり, Allergen information available, allergen, information, available, menu",FALSE
持ち帰り可,Takeout available,Menu,お持ち帰りの案内に。,"持ち帰り可, Takeout available, takeout, available, menu",FALSE
テイクアウト窓口,Order takeaway here,Menu,テイクアウト窓口の表示に。,"テイクアウト窓口, Order takeaway here, order, takeaway, here, menu",FALSE
数量限定メニュー,Limited-quantity menu,Menu,本日限定メニューの案内に。,"数量限定メニュー, Limited-quantity menu, limited-quantity, menu",FALSE
旬のおすすめ,Seasonal recommendations,Menu,旬の食材を使ったおすすめに。,"旬のおすすめ, Seasonal recommendations, seasonal, recommendations, menu",FALSE
シェフのおすすめ,Chef's special,Menu,シェフ推薦の一品に。,"シェフのおすすめ, Chef's special, chef's, special, menu",FALSE
辛さ調整可,Spice level adjustable,Menu,辛さの調整を受け付ける場合に。,"辛さ調整可, Spice level adjustable, spice, level, adjustable, menu",FALSE
量を減らせます,Smaller portion available,Menu,少量での提供が可能な場合に。,"量を減らせます, Smaller portion available, smaller, portion, available, menu",FALSE
大盛り可,Large portion available,Menu,大盛りオプションの案内に。,"大盛り可, Large portion available, large, portion, available, menu",FALSE
糖質オフメニュー,Low-carb options,Menu,糖質制限の方向けに。,"糖質オフメニュー, Low-carb options, low-carb, options, menu",FALSE
地元産食材使用,Locally sourced ingredients,Menu,地産地消をアピールする表示に。,"地元産食材使用, Locally sourced ingredients, locally, sourced, ingredients, menu",FALSE
自家製ソース,House-made sauces,Menu,自家製調味料の強調に。,"自家製ソース, House-made sauces, house-made, sauces, menu",FALSE
デザート盛り合わせ,Dessert assortment,Menu,複数のデザートを盛り合わせた説明に。,"デザート盛り合わせ, Dessert assortment, dessert, assortment, menu",FALSE
アルコールは20歳以上,Alcohol for 20+ only,Menu,年齢確認の注意書きに。,"アルコールは20歳以上, Alcohol for 20+ only, alcohol, for, 20+, only, menu",FALSE
当店の人気メニュー,Our popular dishes,Menu,人気メニューの紹介に。,"当店の人気メニュー, Our popular dishes, our, popular, dishes, menu",FALSE
予約推奨,Reservation recommended,Menu,混雑する時間帯の案内に。,"予約推奨, Reservation recommended, reservation, recommended, menu",FALSE
お取り分け可能,Shareable portions available,Menu,複数人で分けられるメニューに。,"お取り分け可能, Shareable portions available, shareable, portions, available, menu",FALSE
辛さ調節無料,Free spice adjustment,Menu,辛さの微調整が無料の場合に。,"辛さ調節無料, Free spice adjustment, free, spice, adjustment, menu",FALSE
ニラそば,Garlic chives soba,Menu,ニラを使ったそば料理の説明に。,"ニラそば, Garlic chives soba, garlic, chives, soba,蕎麦, menu",FALSE
苺大福,Strawberry daifuku,Menu,苺を使った和菓子の説明に。,"苺大福, Strawberry daifuku, strawberry, daifuku, menu",FALSE
カレーうどん,Curry udon,Menu,カレー風味のうどん料理の説明に。,"カレーうどん, Curry udon, curry, udon, menu",FALSE
シュウマイ,Shumai,Menu,焼売(シュウマイ)料理の説明に。,"シュウマイ, Shumai, shumai, menu",FALSE
こんにゃく,Konjac,Menu,こんにゃく料理の説明に。,"こんにゃく, Konjac, konjac, menu",FALSE
餃子,Gyoza(dumplings),Menu,餃子料理の説明に。,"餃子, Gyoza(dumplings), gyoza(dumplings, menu",FALSE
そば,Soba,Menu,そば料理の説明に。,"そば, Soba, soba, menu,蕎麦, buckwheat noodles",FALSE
うなぎ,Eel,Menu,うなぎ料理の説明に。,"うなぎ, Eel, eel, menu",FALSE
天ぷら,Tempura,Menu,天ぷら料理の説明に。,"天ぷら, Tempura, tempura, menu",FALSE
焼き鳥,Yakitori (grilled chicken skewers),Menu,焼き鳥料理の説明に。,"焼き鳥, Yakitori (grilled chicken skewers), yakitori, grilled, chicken, skewers, menu",FALSE
ヴィーガン,Vegan,Menu,ヴィーガン料理の説明に。,"ヴィーガン, Vegan, vegan, menu",FALSE
ベジタリアン,Vegetarian,Menu,ベジタリアン料理の説明に。,"ベジタリアン, Vegetarian, vegetarian, menu",FALSE
ハラル,Halal,Menu,ハラル料理の説明に。,"ハラル, Halal, halal, menu",FALSE
お好み焼き（広島風）,Hiroshima-style Okonomiyaki (Layered savory pancake),Menu,広島の名物。関西風との違いを説明する際に。,"お好み焼き（広島風）, Hiroshima-style Okonomiyaki (Layered savory pancake), hiroshima-style, okonomiyaki, layered, savory, pancake, menu",FALSE
明太子,Spicy Pollock Roe,Menu,福岡・博多の名物。パスタやご飯のトッピングに。,"明太子, Spicy Pollock Roe, spicy, pollock, roe, menu",FALSE
ジンギスカン,Jingisukan (Grilled mutton and vegetables),Menu,北海道の名物料理。,"ジンギスカン, Jingisukan (Grilled mutton and vegetables), jingisukan, grilled, mutton, and, vegetables, menu",FALSE
ほうとう,Houtou (Flat udon noodles in miso pumpkin soup),Menu,山梨県のご当地料理。,"ほうとう, Houtou (Flat udon noodles in miso pumpkin soup), houtou, flat, udon, noodles, miso, pumpkin, soup, menu",FALSE
グルテンフリー対応可,Gluten-free options available,Menu,小麦アレルギーや食事制限のある方向けに。,"グルテンフリー対応可, Gluten-free options available, gluten-free, options, available, menu",FALSE
低糖質メニュー,Low-carb menu options,Menu,健康志向の方向けの案内。,"低糖質メニュー, Low-carb menu options, low-carb, menu, options",FALSE
仙台牛タン,Sendai Beef Tongue (Grilled),Menu,宮城・仙台の名物。,"仙台牛タン, gyutan, beef tongue, sendai, 宮城, 焼き肉, BBQ, tongue, ぎゅうたん, regional specialty",FALSE
わんこそば,Wanko Soba (Small bowls of buckwheat noodles),Menu,岩手県の名物。,"わんこそば, wanko soba, noodles, 岩手, iwate, all-you-can-eat, そば, 蕎麦, regional food",FALSE
きりたんぽ鍋,Kiritanpo Nabe (Rice stick hot pot),Menu,秋田県の名物。,"きりたんぽ, kiritanpo, hot pot, nabe, 秋田, akita, rice sticks, なべ, regional dish",FALSE
ひつまぶし,Hitsumabushi (Nagoya-style grilled eel over rice),Menu,愛知・名古屋の名物。,"ひつまぶし, hitsumabushi, eel, unagi, 名古屋, nagoya, うなぎ, 鰻, grilled eel",FALSE
宇都宮餃子,Utsunomiya Gyoza (Local pan-fried dumplings),Menu,栃木・宇都宮の名物。,"宇都宮餃子, Utsunomiya Gyoza (Local pan-fried dumplings), utsunomiya, gyoza, local, pan-fried, dumplings, menu",FALSE
出雲そば,Izumo Soba (Buckwheat noodles from Shimane),Menu,島根県の名物。,"出雲そば, Izumo Soba (Buckwheat noodles from Shimane), izumo, soba, buckwheat, noodles, from, shimane, menu",FALSE
讃岐うどん,Sanuki Udon (Firm wheat noodles),Menu,香川県の名物。,"讃岐うどん, Sanuki Udon (Firm wheat noodles), sanuki, udon, firm, wheat, noodles, menu",FALSE
沖縄そば,Okinawa Soba (Pork-based noodle soup),Menu,沖縄県の名物。,"沖縄そば, okinawa soba, noodles, pork soup, soki, おきなわそば, regional food",FALSE
ゴーヤチャンプルー,Goya Champuru (Bitter melon stir-fry),Menu,沖縄の家庭料理。,"ゴーヤチャンプルー, goya, bitter melon, stir-fry, okinawa, 沖縄, tofu, pork, ちゃんぷるー",FALSE
クラフトビール（地ビール）,Local Craft Beer,Menu,地域の醸造所のビール。,"クラフトビール（地ビール）, Local Craft Beer, local, craft, beer, menu",FALSE
ノンアルコール飲料,Non-alcoholic beverages,Menu,お酒を飲まない方向けに。,"ノンアルコール飲料, Non-alcoholic beverages, non-alcoholic, beverages, menu",FALSE
旬の食材,Seasonal ingredients,Menu,今の時期に一番美味しい食材。,"旬（しゅん）の食材, Seasonal ingredients, seasonal, ingredients, menu",FALSE
